75.47,49.23,11.90,1.31,1.00
20.41,36.90,11.57,51.68,1.00
84.07,19.73,5.30,69.52,1.00
87.86,49.52,0.67,62.44,1.00
53.24,22.72,10.92,97.86,0.00
14.83,11.02,3.51,40.06,1.00
84.01,3.37,3.05,15.87,1.00
99.59,17.18,2.51,69.91,0.00
78.52,58.07,15.60,27.41,0.00
78.23,7.61,8.99,12.42,1.00
14.69,98.06,1.71,67.89,0.00
84.29,48.41,2.80,31.26,1.00
53.69,26.51,9.28,55.64,1.00
63.57,8.72,14.31,26.27,0.00
21.99,15.54,8.86,25.84,1.00
21.24,88.56,9.20,15.25,0.00
96.44,83.67,0.78,74.99,0.00
87.21,94.51,15.15,14.35,0.00
80.28,87.46,1.11,0.62,0.00
55.70,78.40,12.71,51.96,1.00
84.37,69.98,12.53,38.59,1.00
75.33,13.30,11.59,69.76,1.00
96.04,60.67,7.38,48.27,0.00
41.81,12.83,4.25,67.89,1.00
84.48,95.87,4.58,77.51,0.00
73.78,69.33,2.67,7.50,1.00
91.35,20.43,14.39,9.70,0.00
63.48,35.23,4.65,71.34,1.00
39.19,8.45,0.12,29.14,1.00
58.01,20.76,7.21,73.87,1.00
87.83,84.63,10.93,59.08,0.00
86.56,28.05,10.07,73.44,1.00
44.35,63.00,5.31,92.23,0.00
94.96,17.87,15.41,44.77,0.00
84.24,95.56,10.85,80.07,0.00
45.73,23.96,6.35,54.70,1.00
83.46,15.65,4.58,94.01,0.00
46.31,3.37,0.39,69.37,1.00
58.20,70.41,6.65,32.63,1.00
40.20,26.68,1.14,2.04,1.00
53.09,28.90,6.89,67.79,1.00
12.44,92.72,12.26,37.52,0.00
41.26,28.81,3.32,23.28,1.00
13.15,47.67,11.36,37.78,1.00
40.72,41.87,0.71,82.25,0.00
27.88,65.57,15.18,98.62,0.00
90.25,42.63,4.85,25.97,0.00
72.73,58.44,0.27,75.40,1.00
44.96,28.18,7.23,53.88,1.00
33.13,58.76,13.92,11.36,1.00
31.14,7.44,6.03,85.02,0.00
49.92,87.67,12.82,86.00,0.00
23.14,53.90,8.43,6.39,1.00
39.30,1.14,4.05,58.34,1.00
28.76,16.98,8.64,75.48,1.00
48.70,12.73,13.17,60.68,1.00
88.79,18.35,6.64,60.87,1.00
17.41,13.98,4.40,88.76,0.00
79.61,91.08,11.10,26.97,0.00
68.03,42.73,2.10,60.24,1.00
13.26,46.75,9.73,31.79,1.00
97.68,94.92,8.88,8.17,0.00
2.88,69.23,13.42,4.14,1.00
83.54,87.49,15.22,59.80,0.00
26.13,46.47,0.21,78.68,1.00
29.12,32.58,2.48,38.65,1.00
66.86,91.95,5.29,96.70,0.00
20.08,76.53,6.24,71.32,1.00
23.62,75.67,7.89,7.55,1.00
3.61,46.25,8.56,50.25,1.00
40.55,89.85,9.55,95.58,0.00
45.27,99.79,11.86,68.47,0.00
11.40,65.00,5.23,50.14,1.00
10.15,10.70,5.20,63.91,1.00
1.37,50.12,1.30,25.89,1.00
62.61,0.24,3.01,59.91,1.00
51.91,53.62,1.78,57.48,1.00
40.06,56.03,5.58,88.76,0.00
55.67,33.90,4.04,78.25,1.00
62.39,49.65,4.25,41.66,1.00
10.30,54.41,7.47,93.63,0.00
98.11,55.45,4.09,79.55,0.00
21.58,47.96,2.49,38.26,1.00
15.45,33.32,11.28,72.58,1.00
94.27,69.62,10.54,33.90,0.00
33.98,44.53,8.37,55.62,1.00
73.34,18.67,13.72,47.10,1.00
39.95,80.76,0.74,6.70,0.00
25.48,33.93,5.30,79.49,1.00
54.56,20.87,11.60,39.39,1.00
18.42,91.38,7.27,60.15,0.00
4.50,59.19,8.41,54.90,1.00
3.18,27.59,15.92,97.40,0.00
5.07,61.95,3.17,41.05,1.00
5.85,13.18,12.69,36.44,1.00
99.28,53.34,4.72,27.82,0.00
92.66,41.49,1.48,82.93,0.00
13.16,62.04,0.44,39.37,1.00
87.27,41.97,3.59,52.73,1.00
77.24,83.49,3.45,55.83,0.00
43.73,54.37,12.66,40.87,1.00
38.48,57.09,14.76,13.62,0.00
7.96,52.67,9.63,81.13,0.00
36.63,64.50,8.72,10.44,1.00
68.57,57.42,5.98,4.55,1.00
38.27,45.99,5.59,24.97,1.00
96.41,5.73,0.32,80.12,0.00
35.83,44.77,10.99,63.83,1.00
24.37,71.72,1.99,88.27,0.00
65.88,0.13,13.43,82.99,0.00
